prediction_id,class
1_201906,0
4_201906,0
4_201905,0
6_201906,1
7_201905,1
8_201905,0
9_201905,1
9_201906,1
10_201907,1
11_201906,1
12_201907,1
13_201905,0
16_201906,0
17_201906,0
17_201907,0
19_201907,0
20_201907,1
20_201905,1
20_201906,1
21_201907,1
25_201905,0
26_201905,1
28_201907,0
28_201905,0
33_201907,1
35_201905,1
37_201906,1
44_201907,0
45_201907,1
47_201906,1
50_201905,1
58_201907,1
59_201905,1
59_201907,1
59_201906,1
60_201907,0
63_201906,0
64_201906,1
67_201905,0
69_201907,1
71_201905,0
71_201906,1
71_201907,0
72_201905,1
73_201907,0
76_201907,1
76_201906,1
78_201905,1
80_201907,1
81_201906,0
81_201905,0
82_201907,1
82_201906,1
88_201906,1
88_201905,1
89_201907,0
90_201905,1
92_201905,0
93_201906,1
95_201905,1
96_201905,1
100_201907,0
101_201905,1
103_201906,0
103_201905,0
108_201906,0
112_201907,1
112_201905,1
113_201906,0
116_201907,0
117_201906,1
120_201905,1
122_201905,0
123_201906,0
124_201906,0
126_201907,1
127_201907,0
128_201907,0
129_201905,0
134_201906,1
136_201906,1
137_201905,1
138_201905,0
138_201907,0
141_201907,0
142_201906,1
142_201905,1
144_201906,1
148_201907,1
149_201907,0
150_201907,1
155_201905,0
156_201906,0
157_201905,1
164_201905,0
166_201905,0
167_201905,1
169_201905,1
169_201906,1
170_201905,0
170_201906,0
175_201905,1
177_201907,1
179_201907,0
179_201905,1
181_201907,1
181_201906,1
184_201907,0
184_201906,1
184_201905,1
185_201906,0
187_201907,0
189_201907,0
189_201905,0
192_201905,1
193_201906,1
194_201907,1
195_201905,1
202_201905,1
203_201905,0
204_201907,0
204_201905,0
205_201905,1
205_201906,1
207_201907,1
209_201906,0
210_201906,1
210_201905,1
212_201906,0
212_201905,0
213_201905,1
215_201906,0
216_201906,1
217_201906,1
217_201907,1
218_201905,1
219_201907,1
223_201907,1
223_201906,0
223_201905,0
224_201906,0
226_201905,0
227_201907,1
229_201907,1
230_201905,0
231_201906,1
232_201907,1
232_201906,1
234_201907,1
234_201906,1
240_201906,1
242_201905,1
244_201905,1
246_201907,1
247_201906,0
251_201906,1
253_201905,0
259_201907,1
260_201905,1
261_201906,0
261_201907,0
261_201905,1
262_201907,1
267_201906,1
270_201905,0
271_201906,1
273_201906,1
274_201906,1
274_201907,1
275_201907,0
277_201906,0
282_201905,0
286_201906,0
290_201907,1
291_201906,1
292_201905,1
294_201905,1
295_201905,1
296_201907,0
300_201905,1
301_201906,1
301_201907,1
302_201906,1
302_201905,1
302_201907,1
308_201905,1
309_201906,0
309_201907,0
309_201905,0
312_201905,1
313_201905,1
314_201907,1
316_201905,0
318_201905,1
319_201905,1
320_201907,0
322_201905,1
323_201907,1
324_201905,0
327_201906,0
327_201907,0
328_201907,1
329_201905,1
329_201906,0
331_201907,0
332_201907,1
333_201906,0
334_201906,1
335_201905,1
336_201906,0
339_201907,1
340_201905,1
341_201906,0
342_201906,1
343_201906,0
343_201905,0
344_201907,1
345_201906,0
346_201907,1
347_201905,1
347_201906,1
350_201905,1
351_201905,0
353_201906,0
354_201905,1
354_201906,1
356_201906,0
357_201907,1
358_201907,1
360_201906,1
361_201906,1
362_201906,1
365_201906,1
366_201906,0
367_201905,1
367_201906,0
370_201907,1
371_201906,0
371_201905,0
374_201906,1
375_201906,1
377_201906,1
384_201906,1
385_201907,1
388_201905,1
389_201906,1
390_201905,0
390_201907,0
391_201906,1
396_201905,1
397_201905,0
401_201905,1
403_201907,1
406_201906,1
408_201906,0
410_201907,1
411_201905,1
412_201906,1
412_201907,1
413_201907,0
415_201905,0
416_201906,0
418_201906,1
420_201905,1
421_201907,1
421_201906,1
423_201907,1
424_201905,1
425_201905,1
429_201906,0
430_201907,0
432_201905,0
432_201906,0
433_201906,1
437_201906,1
438_201907,1
439_201907,1
440_201905,1
443_201905,0
443_201907,0
444_201905,1
446_201907,1
449_201907,1
450_201905,1
455_201906,1
456_201906,1
456_201907,1
456_201905,1
461_201906,0
462_201905,1
467_201906,0
468_201907,0
471_201907,1
472_201905,1
475_201906,0
476_201906,0
479_201907,0
481_201907,1
482_201905,0
483_201905,1
484_201905,0
486_201907,1
487_201906,1
487_201905,1
491_201905,1
492_201905,1
493_201907,0
494_201907,0
495_201906,1
497_201907,1
498_201907,0
499_201906,1
500_201905,1
503_201905,1
503_201906,0
505_201905,1
505_201907,1
507_201906,1
508_201905,0
509_201905,0
510_201905,1
510_201907,1
515_201906,0
517_201907,1
517_201906,1
518_201907,1
523_201905,1
524_201906,1
525_201907,0
528_201907,1
530_201906,0
531_201906,0
535_201906,1
537_201905,0
538_201906,0
541_201905,1
545_201905,0
545_201906,0
546_201906,0
547_201906,1
548_201905,1
552_201905,1
556_201906,1
560_201906,1
562_201905,1
563_201905,1
564_201906,0
564_201907,0
569_201905,0
572_201905,1
573_201907,1
578_201907,1
579_201906,0
579_201905,0
581_201905,1
582_201907,0
582_201905,0
585_201905,0
586_201907,0
588_201907,1
588_201906,1
590_201905,1
592_201907,1
593_201906,1
594_201905,1
596_201907,1
603_201905,1
607_201905,0
607_201906,0
608_201906,1
610_201906,0
612_201907,1
613_201907,1
614_201907,1
614_201906,1
615_201907,1
617_201905,0
619_201906,1
620_201905,1
621_201906,1
623_201905,0
623_201906,1
625_201905,0
627_201905,1
628_201905,1
629_201905,0
630_201905,0
631_201906,1
632_201906,1
633_201907,1
634_201906,1
635_201907,0
636_201906,1
636_201905,1
637_201905,0
641_201906,1
643_201905,0
643_201906,0
647_201906,1
650_201905,1
651_201906,0
652_201906,1
653_201906,1
655_201907,1
658_201905,1
658_201906,1
660_201906,1
661_201907,0
661_201906,0
662_201906,1
663_201906,1
663_201905,1
665_201905,1
666_201906,1
667_201905,1
668_201906,1
668_201905,1
670_201907,0
671_201907,0
671_201905,0
672_201906,0
674_201907,1
675_201905,1
676_201906,1
676_201907,1
678_201906,1
680_201906,0
680_201907,0
681_201907,1
683_201907,0
687_201906,0
692_201906,1
698_201906,1
700_201906,1
702_201907,1
703_201905,1
705_201905,0
705_201907,0
